Reposo,Esfuerzo,Meditacion,Abriendo Cerrando ojos Cerebro,Abriendo Cerrando ojos  Corazon,AYB Cerebro,AYB Corazon ,Meditando Cerebro,Meditando Corazon,MeditandoSeg
-0.057829663,-0.083295745,-0.031249048,0.044512545,-0.023530281,-0.02233592,-0.020347448,0.026686288,-0.066816799,-0.015332747
-0.057829663,-0.115128348,-0.033795656,0.061702151,-0.024166847,-0.019789311,-0.021620581,0.017773159,-0.059814568,-0.016606051
-0.064196184,-0.108761827,-0.038252221,0.04578585,-0.024166847,-0.017242703,-0.021620581,0.021593072,-0.057268303,-0.001963054
-0.051463143,-0.102395307,-0.030612396,0.053425674,-0.028622812,-0.029339092,-0.023530281,0.022229724,-0.058541436,-0.005782966
-0.051463143,-0.102395307,-0.026155832,0.04896911,-0.026713113,-0.023609224,-0.024166847,0.012679943,-0.05599517,-0.010239531
-0.051463143,-0.096028786,-0.030612396,0.052789022,-0.031169078,-0.02551918,-0.023530281,0.021593072,-0.05599517,0.001856858
-0.025997061,-0.076929225,-0.02551918,0.040055981,-0.024166847,-0.013422791,-0.021620581,0.02413968,-0.05408547,-0.021699268
-0.045096623,-0.076929225,-0.020425963,0.048332458,-0.02543998,-0.021699268,-0.022257148,0.020319768,-0.051539205,-0.009602879
-0.025997061,-0.070562704,-0.019789311,0.043875893,-0.029895945,-0.012786139,-0.022893714,0.017773159,-0.05408547,-0.008966227
-0.019630541,-0.045096623,-0.02233592,0.029869548,-0.02543998,-0.010876183,-0.020347448,0.008860031,-0.047719806,-0.023609224
-0.01326402,-0.057829663,-0.017242703,0.02732294,-0.026713113,-0.015969399,-0.021620581,0.019683116,-0.055358603,-0.02551918
-0.000530979,-0.032363582,-0.021699268,0.019683116,-0.027349679,-0.024882528,-0.022893714,0.024776332,-0.055358603,-0.015332747
-0.000530979,-0.019630541,-0.015969399,0.015863203,-0.02543998,-0.008329575,-0.024803414,0.022866376,-0.05408547,-0.015332747
