reposo,esfuerzo,meditacion
-0.153327471,-0.191526594,0.029232896
-0.14059443,-0.197893114,0.045149197
-0.153327471,-0.185160073,0.036236069
-0.14059443,-0.166060512,0.029869548
-0.14059443,-0.191526594,0.02413968
-0.153327471,-0.191526594,0.026049636
-0.172427032,-0.210626155,0.013953247
-0.197893114,-0.248825278,0.017773159
-0.216992675,-0.223359196,0.031142852
-0.27429136,-0.210626155,0.022229724
-0.325223524,-0.229725716,0.013953247
-0.363422646,-0.223359196,0.017136507
-0.40798829,-0.255191798,0.015226551
-0.427087851,-0.242458757,-0.003236358
-0.401621769,-0.229725716,0.008223379
-0.357056126,-0.223359196,0.006313423
-0.287024401,-0.248825278,0.010769987
-0.166060512,-0.216992675,0.006950075
0.005835541,-0.216992675,0.005040118
0.247763319,-0.204259634,-5.31E-05
0.585188905,-0.210626155,0.000583554
1.018112297,-0.191526594,-0.003236358
1.069044461,-0.185160073,0.001220206
1.069044461,-0.185160073,0.001220206
1.088144022,-0.159693991,-0.005146314
0.78891756,-0.166060512,-0.014059443
0.273229401,-0.127861389,-0.009602879
-0.255191798,-0.121494868,-0.002599706
-0.312490483,-0.108761827,0.008860031
-0.401621769,-0.108761827,-0.00705627
-0.471653495,-0.134227909,-0.009602879
-0.420721331,-0.089662266,-0.008329575
-0.388888728,-0.089662266,-0.001326402
-0.369789167,-0.102395307,0.005676771
-0.344323085,-0.108761827,-0.005146314
-0.312490483,-0.102395307,-0.001326402
-0.318857003,-0.089662266,0.005040118
-0.331590044,-0.115128348,0.003766814
-0.306123962,-0.115128348,-0.003236358
-0.248825278,-0.14059443,0.001856858
-0.216992675,-0.153327471,0.000583554
-0.242458757,-0.166060512,0.012679943
-0.229725716,-0.14059443,0.012043291
-0.210626155,-0.172427032,0.015863203
-0.216992675,-0.178793553,0.026049636
-0.210626155,-0.197893114,0.022229724
-0.204259634,-0.191526594,0.017136507
-0.197893114,-0.216992675,0.024776332
-0.191526594,-0.210626155,0.020319768
-0.185160073,-0.236092237,0.02095642
-0.197893114,-0.242458757,0.031779504
-0.191526594,-0.261558319,0.024776332
-0.159693991,-0.261558319,0.041329285
-0.166060512,-0.236092237,0.035599417
-0.153327471,-0.255191798,0.038782677
-0.166060512,-0.255191798,0.038782677
-0.153327471,-0.255191798,0.038782677
-0.153327471,-0.229725716,0.034326113
-0.14059443,-0.255191798,0.0305062
-0.153327471,-0.255191798,0.031779504
-0.153327471,-0.210626155,0.016499855
-0.14696095,-0.229725716,0.019683116
-0.153327471,-0.216992675,0.018409811
-0.121494868,-0.229725716,0.019683116
-0.121494868,-0.223359196,0.022866376
-0.127861389,-0.261558319,0.020319768
-0.127861389,-0.293390921,0.003130162
-0.121494868,-0.401621769,0.007586727
-0.115128348,-0.433454372,0.001220206
-0.121494868,-0.484386535,0.000583554
-0.108761827,-0.522585658,-0.007692922
-0.102395307,-0.503486097,-0.007692922
-0.108761827,-0.490753056,-0.002599706
-0.096028786,-0.427087851,-0.005146314
-0.096028786,-0.363422646,0.006313423
-0.102395307,-0.223359196,0.009496683
-0.096028786,-0.089662266,0.006950075
-0.089662266,0.26049636,-0.001963054
-0.115128348,0.534256741,0.004403466
-0.102395307,0.585188905,0.003130162
-0.102395307,0.648854109,0.001220206
-0.108761827,0.680686712,0.003130162
-0.121494868,0.247763319,-0.002599706
-0.096028786,-0.306123962,0.001220206
-0.102395307,-0.465286974,-0.003236358
-0.096028786,-0.586250863,-0.001963054
-0.102395307,-0.598983904,0.000583554
-0.083295745,-0.598983904,0.005040118
-0.083295745,-0.598983904,0.001220206
-0.096028786,-0.522585658,-5.31E-05
-0.070562704,-0.484386535,0.008860031
-0.096028786,-0.458920454,0.012043291
-0.108761827,-0.439820892,0.022866376
-0.076929225,-0.41435481,0.009496683
-0.051463143,-0.376155687,0.005040118
-0.064196184,-0.344323085,0.001856858
-0.051463143,-0.306123962,0.009496683
-0.064196184,-0.255191798,0.00249351
-0.070562704,-0.229725716,0.016499855
-0.064196184,-0.204259634,0.005040118
-0.057829663,-0.166060512,0.020319768
-0.051463143,-0.14059443,0.014589899
-0.045096623,-0.134227909,0.012679943
-0.051463143,-0.14059443,0.010769987
-0.038730102,-0.185160073,0.019046464
-0.025997061,-0.178793553,0.012043291
-0.025997061,-0.153327471,0.007586727
-0.032363582,-0.127861389,0.012679943
-0.01326402,-0.134227909,0.02413968
-0.000530979,-0.102395307,0.02732294
-0.0068975,-0.076929225,0.031779504
0.005835541,-0.108761827,0.02732294
0.018568582,-0.102395307,0.020319768
0.024935103,-0.121494868,0.008860031
0.056767705,-0.102395307,0.017136507
0.050401185,-0.096028786,0.005040118
0.056767705,-0.115128348,-0.002599706
0.037668144,-0.096028786,0.005040118
0.056767705,-0.102395307,-0.005782966
0.050401185,-0.102395307,-0.001963054
0.056767705,-0.089662266,-0.004509662
0.044034664,-0.076929225,0.005676771
0.037668144,-0.045096623,0.001856858
0.056767705,-0.064196184,0.000583554
0.050401185,-0.064196184,-0.006419618
0.050401185,-0.064196184,0.010769987
0.056767705,-0.045096623,-0.00068975
0.044034664,-0.032363582,0.00249351
0.050401185,-0.019630541,0.001220206
0.037668144,-0.000530979,-0.004509662
0.050401185,0.024935103,0.000583554
0.031301623,-0.000530979,-0.005146314
0.024935103,-0.025997061,0.001856858
0.024935103,-0.0068975,-0.00387301
-0.000530979,0.005835541,0.006950075
