esfuerzo,Prueba,meditacion,reposo
-0.057829663,255.0,-0.024245876,-0.172427032
-0.108761827,256.0,-0.018516007,-0.14696095
-0.127861389,257.0,-0.013422791,-0.14059443
-0.134227909,258.0,-0.019789311,-0.14059443
-0.14696095,259.0,-0.017879355,-0.14696095
-0.159693991,260.0,-5.31e-05,-0.134227909
-0.166060512,261.0,-0.00068975,-0.159693991
-0.178793553,262.0,0.004403466,-0.14696095
-0.14696095,263.0,0.006313423,-0.153327471
-0.153327471,264.0,0.009496683,-0.127861389
-0.159693991,265.0,0.006950075,-0.14696095
-0.178793553,266.0,0.007586727,-0.127861389
-0.178793553,267.0,0.011406639,-0.134227909
-0.197893114,268.0,0.009496683,-0.115128348
-0.216992675,269.0,0.016499855,-0.127861389
-0.210626155,270.0,0.016499855,-0.115128348
-0.204259634,271.0,0.013953247,-0.134227909
-0.178793553,272.0,0.005676771,-0.121494868
-0.166060512,273.0,-5.31e-05,-0.108761827
-0.172427032,274.0,0.004403466,-0.127861389
-0.159693991,275.0,0.009496683,-0.108761827
-0.166060512,276.0,0.008223379,-0.134227909
-0.166060512,277.0,0.010769987,-0.096028786
-0.185160073,278.0,0.008860031,-0.076929225
-0.185160073,279.0,0.001856858,-0.070562704
-0.185160073,280.0,0.006950075,-0.070562704
-0.172427032,281.0,0.010133335,-0.083295745
-0.172427032,282.0,0.02095642,-0.064196184
-0.159693991,283.0,0.015226551,-0.064196184
-0.172427032,284.0,0.019683116,-0.057829663
-0.166060512,285.0,0.014589899,-0.051463143
-0.172427032,286.0,0.003766814,-0.051463143
-0.153327471,287.0,0.008860031,-0.045096623
-0.14059443,288.0,-0.00068975,-0.032363582
-0.127861389,289.0,-0.001963054,-0.025997061
-0.14059443,290.0,0.013953247,-0.0068975
-0.083295745,291.0,0.010769987,-0.01326402
-0.076929225,292.0,0.006950075,-0.025997061
-0.102395307,293.0,-0.007692922,-0.000530979
-0.076929225,294.0,-0.001326402,0.005835541
-0.134227909,295.0,-0.011512835,0.012202062
-0.115128348,296.0,-0.005782966,0.024935103
-0.076929225,297.0,-0.007692922,0.018568582
-0.102395307,298.0,-0.003236358,0.031301623
-0.096028786,299.0,-0.008329575,0.037668144
-0.102395307,300.0,-0.016606051,0.037668144
-0.127861389,301.0,-0.013422791,0.050401185
-0.14059443,302.0,-0.011512835,0.069500746
-0.172427032,303.0,-0.020425963,0.044034664
-0.159693991,304.0,-0.012786139,0.056767705
-0.178793553,305.0,-0.013422791,0.050401185
-0.185160073,306.0,-0.009602879,0.044034664
-0.210626155,307.0,-0.010239531,0.050401185
-0.223359196,308.0,-0.007692922,0.056767705
-0.242458757,309.0,-0.00705627,0.050401185
